Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Hanna (2011),,"$6,090,635","$1,506,852","$817,780","$567,320","$2,915,340",,"$279,180","$138,390","$193,075","$437,680","$317,197","$144,354","$14,603","$201,120","$403,610","$142,528","$11,380","$17,768","$1,966,472","$1,936,363","$170,324","$141,443","$284,558","$209,121","$148,406","$1,464,299","$18,103",,,"$182,098",,,,"$132,751","$36,362","$366,724","$37,424","$40,949","$180,932","$741,825","$237,434","$166,817",,"$40,354","$45,556","$46,078","$103,630",,"$39,051","$72,461","$21,886","$29,099","$9,495",,,,,"$3,286","$27,100","$26,198","$7,788","$163,833","$144,978",,,,,,,,,,,,,,,,,,,
Arthur (2011),,"$5,414,235",,,,"$498,212","$441,069",,,"$169,271",,,"$230,243",,"$133,267","$432,112","$517,670","$52,801",,,"$5,292,540",,,,"$528,931",,,"$218,224",,,,"$187,726",,,,,"$685,345","$32,913","$47,470",,,"$95,610",,,,,,,,,,,,,"$134,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess of Montpensier (2010),,"$111,758",,"$5,922,378",,,,,"$90,894",,"$23,085",,,,"$7,546","$10,105",,,,"$409,421","$13,053",,,,,,,,,,"$13,040",,,,,,,"$3,247",,,,,,,,,,"$8,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor (2011),,"$22,521,717","$12,440,218","$18,370,989","$10,900,780","$16,007,303","$1,953,880","$1,612,281","$1,255,410","$1,665,346","$1,852,788","$2,088,436","$2,294,015","$50,606","$1,355,963","$2,066,386","$2,009,016","$128,052","$74,700","$16,543,455","$20,135,378","$5,830,415","$2,490,495","$3,730,598","$4,250,375","$2,316,699","$14,791,773","$4,027,405","$19,547,866","$12,092,872","$2,399,738","$1,970,451","$2,647,111","$82,485","$418,130","$735,683","$1,900,064","$282,342","$261,866","$1,477,787","$5,737,436","$2,026,533","$1,529,183","$748,171","$122,992","$744,824","$368,650","$772,310","$193,658","$156,908","$140,960","$96,627","$72,757","$30,017","$2,468,907","$1,281,880","$370,749",,,,,,,"$1,001,416","$577,677","$1,249,402",,,,,,,,,"$273,076",,,,,,,,
Laaga Chunari Mein Daag (2007),,"$1,420,826",,,,,,,,,,,,,,,,,,,"$108,047",,,"$29,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,121,041",,,,,,,,,,,,,,,,,,,
Water for Elephants (2011),,"$6,168,676","$3,397,249","$5,987,605","$1,465,985","$7,312,529","$603,683","$272,012","$1,349,461","$1,070,385",,"$495,109","$1,178,824",,"$226,218","$120,416","$426,138","$64,676","$97,526","$2,178,167","$11,597,594","$555,311","$241,804","$170,958","$234,369","$21,202","$372,153","$104,215","$3,323,779","$1,345,823","$426,644","$261,890","$402,173","$30,376","$434,146","$155,699","$1,168,983","$49,548","$23,716",,,"$937,096","$502,571",,,,"$73,272","$192,961","$15,887","$33,936",,"$39,823","$33,860",,"$253,533","$105,107","$34,535",,"$1,093",,,,,"$28,383","$71,534","$132,678",,,"$100,725",,,,,,,,,,,,,,
African Cats (2011),,"$99,350",,"$6,012,431","$36,486","$79,706",,,,,,,,,,,"$40,059",,,,,,"$4,261",,"$4,626",,,,"$222,490",,"$105,627","$29,405","$39,973","$5,205",,,"$211,409",,,,,,,,,,,,,,,,,,"$54,897","$142,644","$15,837",,,,,,,,,,,,,,,,,,,,,,,,,,
Film socialisme (2010),,"$4,943","$44,195","$76,890",,,,,,"$15,256",,,,,"$10,499",,,,,"$22,925",,,,,,,,,"$4,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Weather (2010),,"$2,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosmos (2009),,"$1,034",,,,,,,,,,"$78,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attenberg (2010),,"$16,176",,"$25,803",,,,,,"$21,276","$24,649",,,,,,,,,,,,,,,,,,"$22,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendies (2010),,"$146,105","$613,628",,"$688,878","$271,767","$80,604","$26,401","$382,558","$3,923",,"$18,933","$119,372",,"$14,379","$6,187",,,,"$12,759","$838,632","$44,197","$39,330",,"$24,207",,"$463,882",,"$127,394","$220,501","$84,357",,,"$24,204",,,"$284,619","$17,915",,,,"$98,985","$68,452",,,,,"$3,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something Borrowed (2011),,"$3,471,553","$1,193,047",,,"$2,387,212","$610,511","$425,521","$169,415","$730,186","$94,758","$441,269","$367,813",,"$174,742","$113,602","$653,369","$30,631","$37,123","$2,384,671","$3,949,245","$185,397","$342,780","$124,016","$304,033","$183,221","$740,256","$58,616","$2,252,141","$1,803,118","$317,695","$144,694","$330,015","$27,359","$158,246","$52,848","$294,530","$95,634","$41,275","$176,192",,"$80,479",,,"$44,544","$265,324","$91,554","$232,026","$63,015","$87,322",,"$42,524","$25,563",,"$87,015",,"$6,705",,,,,,"$133,052",,"$28,023",,,,,,,,,,,,,,,,,,
Priest (2011),,"$1,491,137","$4,335,940","$2,166,664","$474,683","$2,421,593",,"$563,431","$300,370","$445,917",,"$526,299","$343,571","$7,672",,"$584,256","$210,410","$40,808","$66,616","$10,406,738","$615,837","$873,613","$533,550","$1,556,925","$1,204,104","$895,467","$750,388","$1,055,353","$1,982,843","$1,476,149","$474,532","$240,591","$838,443","$29,111","$106,252","$161,846","$349,181","$68,507","$26,426","$585,184","$248,382","$236,186","$163,718","$92,977","$53,558","$214,247","$80,282","$375,339","$64,002","$47,672","$118,455",,,"$20,850","$574,642","$79,331","$49,788",,"$6,757","$63,984","$19,727","$15,580","$183,345","$1,633,822","$127,879","$234,867","$286,665",,,,"$132,502","$33,774","$13,372","$49,610",,"$168,546","$70,623",,,,,,
The Beaver (2011),,"$182,506","$728,732","$1,304,947","$1,084,923","$214,844","$81,619",,"$104,338","$10,595","$70,585",,,,"$188,529","$70,149","$11,552",,,"$251,676","$95,383",,"$63,052","$16,491","$22,467","$18,855",,"$9,770","$818,883","$262,016","$232,671","$73,828","$184,980","$9,750","$3,427",,"$2,785","$35,527",,,,"$60,122",,,,,"$5,287",,,,,,,,,"$32,401","$6,260",,,,,,,,,"$65,034",,,,,,,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides (2011),,"$54,187,325","$27,122,003","$49,217,332","$24,461,143","$62,438,491","$14,567,517","$10,110,633","$8,462,456","$8,019,203","$5,218,525","$7,100,793","$13,213,495","$139,640","$4,232,686","$3,701,640","$3,651,559","$672,162","$458,820","$63,661,754","$29,006,640","$8,589,434","$5,847,846","$5,572,226","$4,087,668","$3,576,731","$25,635,913","$3,584,297","$28,992,018","$31,142,923","$11,696,923","$3,152,332","$6,569,664","$569,950","$5,149,281","$3,876,389","$3,495,300","$475,742","$377,174","$5,268,571","$108,856,481","$9,943,639","$4,863,641","$3,093,916","$783,632","$2,665,375","$714,462","$2,172,494","$759,758","$768,158",,"$467,710","$407,666",,"$7,104,868","$2,890,140","$773,723","$70,000,000",,,,,"$1,248,726","$7,474,354","$1,394,133","$5,234,148",,,,,,,,,"$1,309,600",,,,,,,,
Midnight in Paris (2011),,"$4,391,381","$10,785,072","$14,501,463","$10,973,594","$6,898,659","$1,530,495","$4,158,970","$1,122,682","$909,827","$2,094,162","$722,971","$1,523,235",,"$1,292,447","$147,497","$340,388","$52,101","$18,599","$57,343","$7,328,764","$396,782","$561,499",,"$139,439","$48,012","$2,273,816",,"$2,706,290","$7,857,375","$3,732,248","$231,534","$400,561","$360,332","$698,764","$338,177","$845,419","$31,951","$51,753","$113,635","$1,783,666","$1,247,231","$1,423,614",,"$60,163","$131,556","$133,424","$148,544",,,,,"$39,780",,,"$48,762","$31,185",,,,,,,,"$72,279","$97,832",,,,,,,,,,,,,,,,,
The Kid with a Bike (2011),,"$551,924","$623,542",,"$1,106,665","$460,402","$223,231",,"$1,012,883","$49,032","$151,700","$24,216","$191,630",,"$4,207",,,,,"$40,370",,,"$4,332",,,,,,,"$592,744","$90,244",,,"$33,353",,,"$96,096",,,,,"$185,579","$86,617",,,,,,,,,,"$13,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tree of Life (2011),,"$2,769,160","$4,616,898","$8,913,366","$3,863,901","$2,851,756","$1,172,709","$393,998","$847,492","$538,521","$541,157","$34,968","$293,486",,"$853,987","$43,244","$48,557",,,"$2,572,652","$1,589,461","$350,927","$472,112",,"$49,152","$52,263","$321,314","$19,490","$742,724","$1,839,737","$595,294","$100,192",,"$27,866","$263,068","$228,951","$197,086","$16,565","$11,047","$109,264","$6,203,254","$431,970","$685,819",,,,"$40,479",,,,,,"$33,278",,"$103,564",,"$1,155",,,,,,,,"$85,927","$178,117",,,,,,,,,,,,,,,,,
The Hangover Part II (2011),,"$53,496,869","$10,274,285","$23,152,607","$13,505,147","$42,168,493","$8,684,316","$7,179,432","$3,513,993","$6,402,247","$2,580,617","$1,922,072","$5,576,977","$71,966","$2,637,630","$2,274,302","$2,648,601","$343,086","$375,176","$13,262,502","$35,371,018","$2,823,033","$1,600,947","$297,671","$1,756,482","$854,254","$423,673","$676,073","$12,205,269","$16,889,520","$2,808,879","$774,605","$2,600,995","$411,914","$1,912,945","$724,772","$3,172,166","$452,330","$360,791","$1,526,926","$2,449,817","$4,736,307","$4,251,560","$3,167,647","$594,225","$2,044,993","$601,491","$1,052,134","$661,738","$345,540",,"$312,772","$338,231",,"$1,626,982","$448,388","$232,097",,,,,,,"$3,002,119","$518,693","$1,401,308",,,,,,,,,"$567,408",,,,,,,,
Pina (2011),,"$1,020,872","$678,394",,"$1,586,232","$5,773,395","$753,438","$253,014","$449,654","$285,186","$330,911","$268,205","$72,490",,"$173,820",,,,,"$740,803","$203,612",,"$117,768",,,,,,"$237,972","$864,441","$437,854",,"$50,481","$36,620","$91,959","$34,076","$76,190",,,,,"$233,878","$246,559",,,,,"$30,037",,,,,"$16,901",,"$80,813",,"$15,396",,,,,,,,"$20,056",,,,,,,,,,,,,,,,,,
The Roommate (2011),,"$516,954","$3,701",,,"$271,660",,,"$11,993",,,,,"$12,748",,"$152,676","$130,932",,"$2,503",,,,,"$364,923","$170,271","$31,286",,"$322,610",,,,"$58,928","$232,725",,,,,"$44,425","$16,129",,,,"$19,243","$12,686","$31,275",,,"$25,457",,"$26,751","$32,187","$17,961",,"$9,506",,,"$47,805",,"$3,128","$29,591","$21,492","$15,350","$276,549","$48,967",,,,,,,"$64,998","$13,779","$2,459","$28,932",,"$38,928","$19,706",,,,,,
Attack the Block (2011),,"$4,060,146","$63,085","$121,096","$230,393","$216,551","$52,522",,"$14,732","$28,357",,"$14,751",,,"$2,427","$77,099",,,,,"$146,349",,,"$119,058","$10,665",,,,,,,,,,,,"$17,146",,"$7,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung Fu Panda 2 (2011),,"$26,906,998","$11,015,256","$27,859,798","$15,945,378","$20,744,836","$5,392,086","$4,801,114","$3,649,784","$3,740,422","$1,209,136","$2,058,309","$3,527,147","$46,600","$2,462,454","$3,328,418","$2,920,855","$363,009","$471,990","$31,829,945","$20,219,645","$3,721,561","$5,071,620","$6,012,559","$7,416,602","$2,201,177","$41,146,233","$4,597,619","$24,391,091","$19,684,571","$9,213,725","$4,045,046","$8,363,469","$798,304","$1,674,201","$1,001,534","$3,149,515","$308,455","$259,971","$2,286,825","$13,314,024","$4,381,247","$4,355,244","$2,995,362","$583,684","$1,185,878","$557,396","$771,676","$606,019","$268,439","$52,053","$351,219","$177,395","$24,713","$6,058,351","$1,747,777","$715,957","$92,174,033",,,,,"$2,684,441","$4,243,468","$511,574","$4,682,918",,,,,,,,,"$5,568,530",,,,,,,,
X-Men: First Class (2011),,"$24,745,982","$8,424,440","$19,537,368","$3,982,424","$7,048,582","$1,892,336","$444,444","$2,080,266","$989,308","$947,851","$1,107,619","$1,738,216","$46,347","$672,020","$1,234,714","$1,151,613","$59,981","$40,647","$9,383,290","$15,532,793","$3,881,629","$3,325,262","$3,575,090","$4,547,291","$2,442,414","$18,028,314","$3,609,496","$13,508,236","$15,259,069","$2,137,060","$1,359,250","$1,592,230","$73,498","$434,955","$379,524","$2,182,636","$97,935","$130,333","$595,528","$7,803,487","$1,407,237","$1,293,377","$1,048,752","$68,272","$437,623","$104,160","$323,194","$94,354","$175,533",,"$51,270","$58,665",,"$2,415,918","$624,198","$215,473",,"$5,275",,,,"$461,786","$2,234,889","$186,118","$992,642",,,"$446,875",,"$230,965","$60,856","$50,350",,,,,,,,,,
Submarine (2010),,"$2,374,824","$29,579","$154,526",,"$131,913",,,"$17,841","$18,516",,,"$95,485",,"$18,178",,,,,"$53,945","$219,292","$9,007","$97,050",,,,,,,,,,,,,"$44,296","$75,200",,,,,"$58,019","$9,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything Must Go (2010),,"$2,524",,,,,,,,,,,,,,,"$26,862",,,,,,,,,,,,,"$79,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginners (2010),,"$1,140,463","$705,194","$375,676",,"$1,413,693","$55,166","$319,229","$194,003","$57,441","$143,914",,"$40,784",,"$113,576",,"$44,063",,,,"$616,716",,,,"$55,468",,"$111,093",,"$140,439",,,,,,,,"$191,199",,,,,,,,,,,,,,,,,,"$55,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super 8 (2011),,"$12,103,827","$13,426,792","$13,595,891","$4,465,802","$5,135,188","$1,608,918","$899,269","$1,689,063","$590,077","$499,221","$1,114,572","$1,908,797","$15,417","$1,080,721","$865,011","$375,189","$68,953","$62,118","$8,390,158","$8,991,977","$1,647,007","$1,244,718","$1,684,458","$1,208,111","$908,711","$3,424,768","$956,962","$6,597,203","$2,348,941","$1,229,616","$436,670","$249,274","$25,374","$274,291","$128,630","$853,299","$91,004","$160,898","$523,544","$20,643,034","$1,059,898","$1,183,460","$457,835","$61,836","$354,222","$128,062","$159,456","$21,590","$75,128","$20,718","$74,813","$49,233","$4,679","$401,306","$221,394","$50,039",,,,,,"$334,224","$131,434","$149,305","$562,930",,,,,,,,,"$286,789",,,,,,,,
Private (2004),,"$47,415","$51,598",,"$9,325,716","$4,881",,,,,,,,,,,,,,,,,,,,,,,"$78,452",,"$68,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,026",,,,,,,,,,,,,,,,,
Green Lantern (2011),,"$10,082,852","$3,765,296","$7,594,611","$3,162,104","$4,636,414","$811,861","$359,747","$1,003,384","$784,489","$487,470","$438,474","$846,061","$29,989","$271,932","$1,278,216","$947,398",,,"$4,863,834","$7,006,138","$1,385,482","$1,468,456","$2,735,227","$2,654,412","$1,280,019","$1,523,125","$3,086,785","$12,470,854","$10,266,555","$2,346,778","$1,590,277","$2,663,058","$116,370","$201,967","$94,635","$1,331,689","$90,518","$75,103","$335,184","$551,846","$650,373","$400,521","$240,632","$34,855","$257,011","$82,610","$207,911","$15,617","$166,999",,"$28,933","$21,076",,"$2,225,434","$1,256,644","$272,140",,,,,,,,"$73,133","$1,121,215",,,,,,,,,"$451,022",,,,,,,,
Mr. Popper's Penguins (2011),,"$13,503,230","$4,523,667","$6,725,483","$3,972,634","$5,251,891","$1,737,562","$1,380,035","$2,076,318","$750,942","$217,018","$1,470,127","$1,106,445","$4,427","$436,565","$1,052,647","$850,958","$76,385","$104,625","$5,278,112","$13,061,490","$3,544,766","$2,496,337","$1,034,014","$1,347,738","$85,538","$6,156,674","$502,199","$7,931,378","$8,506,923","$2,391,488","$1,524,823","$3,122,579","$201,077","$460,324","$401,837","$932,052","$268,932","$63,104","$642,562",,"$652,812","$1,234,183","$587,047","$143,442","$524,149","$105,107","$351,224","$59,636","$190,783",,"$82,397","$63,722",,"$1,109,546","$429,677","$182,431",,"$6,950",,,,"$174,681",,"$114,828","$1,235,462",,,"$817,065",,"$168,596","$24,363","$37,076",,,,,,,,,,
Bad Teacher (2011),,"$12,575,607","$6,055,117","$9,096,392","$2,777,525","$18,769,493","$4,376,561","$821,247","$3,087,741","$2,811,634","$631,052","$464,039","$1,625,948","$11,135","$1,121,602","$819,114","$709,766","$108,495","$83,372","$13,430,816","$8,746,982",,"$215,623",,"$396,819","$458,232",,"$216,037","$3,691,965","$4,382,343","$540,309","$393,665","$1,193,923","$67,226","$974,961","$363,365","$689,742","$233,496","$132,347","$1,137,733","$94,499","$1,840,307","$1,165,410","$512,364","$122,282","$510,133","$85,580","$492,342","$155,959","$135,847","$124,659","$80,373","$61,774","$16,535","$375,554","$112,341","$37,793",,"$7,786","$71,656","$61,044","$51,561","$253,273","$232,140","$319,886","$244,837",,,,,,"$28,935",,,,"$187,877","$108,205",,,,,,
Transformers: Dark of the Moon (2011),,"$45,470,012","$11,127,016","$27,705,388","$12,398,269","$38,750,141","$5,680,965","$4,832,020","$3,706,537","$4,042,800","$2,051,349","$3,753,228","$5,385,082","$116,334","$2,274,967","$4,195,190","$2,994,532","$337,433","$392,009","$45,129,718","$38,820,321","$37,667,064","$10,884,020","$10,881,761","$9,181,891","$9,706,040","$69,067,774","$9,770,818","$30,502,854","$22,312,673","$8,108,505","$4,208,435","$2,618,374","$207,272","$1,377,688","$1,825,418","$5,342,327","$558,864","$289,370","$4,085,682","$54,167,274","$4,087,028",,"$1,493,957","$210,099","$2,184,687","$466,779","$1,105,620","$673,465","$379,866","$94,061","$248,076","$124,347","$28,694","$6,509,850","$2,058,036","$821,462","$165,100,000",,,,,"$2,043,200",,"$734,614","$4,512,095",,,,,,,,,"$6,880,457",,,,,,,,
Larry Crowne (2011),,"$2,275,388","$1,930,068","$5,055,665","$1,898,750","$4,098,653","$463,334","$1,295,586","$1,109,267","$428,732","$734,285","$675,999","$227,547",,"$560,507","$315,178","$314,301","$12,095","$12,398","$1,903,476","$2,124,486","$296,727","$407,371","$130,572","$291,787","$80,187","$77,638","$31,693","$2,248,235","$2,347,258","$669,008","$215,683","$309,240","$69,905","$72,806","$90,216","$373,461","$97,286","$32,455","$103,197","$4,685,526","$193,280","$92,623",,,"$228,167","$29,782","$151,385","$12,893","$140,287",,"$47,545","$12,947",,"$384,347","$17,520",,,,,,,,,"$70,083",,,,,,,,,,,,,,,,,,
Your Highness (2011),,"$2,832,457","$39,797","$87,418",,,"$46,431",,"$40,080",,,,,,"$33,112",,"$77,355","$24,184","$26,987","$1,836,615","$645,113",,,,"$287,999",,,,"$35,938",,,,,,,"$105,934","$66,587","$8,194","$59,868",,,,,,"$65,434",,,"$72,928",,,"$8,156","$16,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy Moody and the Not Bummer Summer (2011),,"$239,073",,,,,,,,,,,,,,,,,,,"$438,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 (2010),,"$148,328","$53,861",,,"$2,388,062",,,"$23,790","$97,595",,"$23,254",,,"$6,744",,,,,"$51,393",,,,"$465,622",,,"$34,223",,,"$40,738","$6,443",,,,,"$10,623",,,,,,,"$7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,"$65,944",,,,,,,,,,,,,
Route Irish (2010),,"$108,307","$42,696","$186,692","$555,955",,,,"$35,715",,,"$3,229",,,"$1,353",,,,,,,,,,,,,,,"$44,931","$2,026",,,,,,,,$278,,,"$41,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zookeeper (2011),,"$5,748,511","$7,269,426","$1,376,891",,"$17,453,001","$973,184","$536,176","$565,992","$2,811,367","$285,596","$146,773","$119,217","$15,998","$338,331","$1,048,962","$1,236,193","$5,910","$12,457","$4,987,271","$7,423,297","$638,066","$90,200","$977,934","$1,318,178","$180,838",,"$176,706","$9,762,619","$5,512,213","$907,936","$1,477,700","$4,018,283","$292,742","$42,693","$55,052","$550,407","$247,091","$49,647","$412,651","$63,841","$133,610","$96,743","$812,761","$56,318","$519,290","$27,006","$243,744","$33,236","$55,021","$75,568","$11,895","$31,104","$12,577","$986,779","$437,087","$290,406",,"$4,031","$82,603","$60,169","$80,239",,"$112,683","$47,922","$1,008,536","$1,095,465",,"$478,743",,"$173,566","$9,639","$27,183",,,"$178,446","$84,013",,,,,,
